#"Progress (%)"	"Step"	"Speed (ns/day)"	"Time Remaining"
: 70.0%	7000	41.9	3:16:24
: 80.0%	8000	41.9	1:52:15
: 90.0%	9000	41.9	49:07
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:25:34
: 30.0%	3000	41.9	22:56:16
: 40.0%	4000	41.9	13:06:29
: 50.0%	5000	41.9	8:11:34
: 60.0%	6000	42	5:14:37
: 70.0%	7000	42	3:16:39
: 80.0%	8000	42	1:52:22
: 90.0%	9000	42	49:10
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:28:52
: 30.0%	3000	41.9	22:58:01
: 40.0%	4000	41.9	13:07:40
: 50.0%	5000	41.9	8:12:26
: 60.0%	6000	41.9	5:15:15
: 70.0%	7000	41.9	3:17:05
: 80.0%	8000	41.9	1:52:39
: 90.0%	9000	41.9	49:18
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:36:34
: 30.0%	3000	41.9	23:01:04
: 40.0%	4000	41.9	13:09:13
: 50.0%	5000	41.9	8:13:17
: 60.0%	6000	42	5:15:43
: 70.0%	7000	42	3:17:20
: 80.0%	8000	42	1:52:46
: 90.0%	9000	42	49:20
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:39:49
: 30.0%	3000	41.9	23:02:49
: 40.0%	4000	41.9	13:10:24
: 50.0%	5000	41.9	8:14:08
: 60.0%	6000	41.9	5:16:20
: 70.0%	7000	41.9	3:17:46
: 80.0%	8000	41.9	1:53:02
: 90.0%	9000	41.9	49:28
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:47:29
: 30.0%	3000	41.9	23:05:51
: 40.0%	4000	41.9	13:11:57
: 50.0%	5000	41.9	8:15:00
: 60.0%	6000	42	5:16:49
: 70.0%	7000	42	3:18:01
: 80.0%	8000	42	1:53:09
: 90.0%	9000	42	49:30
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:50:47
: 30.0%	3000	41.9	23:07:36
: 40.0%	4000	41.9	13:13:09
: 50.0%	5000	41.9	8:15:52
: 60.0%	6000	41.9	5:17:26
: 70.0%	7000	41.9	3:18:27
: 80.0%	8000	41.9	1:53:26
: 90.0%	9000	41.9	49:38
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:4:58:30
: 30.0%	3000	41.9	23:10:40
: 40.0%	4000	41.9	13:14:43
: 50.0%	5000	41.9	8:16:43
: 60.0%	6000	42	5:17:55
: 70.0%	7000	42	3:18:42
: 80.0%	8000	42	1:53:33
: 90.0%	9000	42	49:41
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:01:48
: 30.0%	3000	41.9	23:12:27
: 40.0%	4000	41.9	13:15:55
: 50.0%	5000	41.9	8:17:35
: 60.0%	6000	41.9	5:18:33
: 70.0%	7000	41.9	3:19:09
: 80.0%	8000	41.9	1:53:50
: 90.0%	9000	41.9	49:49
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:09:33
: 30.0%	3000	41.9	23:15:30
: 40.0%	4000	41.9	13:17:28
: 50.0%	5000	41.9	8:18:26
: 60.0%	6000	42	5:19:01
: 70.0%	7000	42	3:19:24
: 80.0%	8000	42	1:53:57
: 90.0%	9000	42	49:51
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:12:51
: 30.0%	3000	41.9	23:17:15
: 40.0%	4000	41.9	13:18:39
: 50.0%	5000	41.9	8:19:18
: 60.0%	6000	41.9	5:19:38
: 70.0%	7000	41.9	3:19:50
: 80.0%	8000	41.9	1:54:13
: 90.0%	9000	41.9	49:59
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:20:32
: 30.0%	3000	41.9	23:20:18
: 40.0%	4000	41.9	13:20:13
: 50.0%	5000	41.9	8:20:10
: 60.0%	6000	42	5:20:07
: 70.0%	7000	42	3:20:05
: 80.0%	8000	42	1:54:20
: 90.0%	9000	42	50:01
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:23:51
: 30.0%	3000	41.9	23:22:05
: 40.0%	4000	41.9	13:21:25
: 50.0%	5000	41.9	8:21:01
: 60.0%	6000	41.9	5:20:45
: 70.0%	7000	41.9	3:20:31
: 80.0%	8000	41.9	1:54:37
: 90.0%	9000	41.9	50:09
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:31:33
: 30.0%	3000	41.9	23:25:08
: 40.0%	4000	41.9	13:22:58
: 50.0%	5000	41.9	8:21:53
: 60.0%	6000	42	5:21:13
: 70.0%	7000	42	3:20:46
: 80.0%	8000	42	1:54:44
: 90.0%	9000	42	50:12
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:34:55
: 30.0%	3000	41.9	23:26:55
: 40.0%	4000	41.9	13:24:11
: 50.0%	5000	41.9	8:22:45
: 60.0%	6000	41.9	5:21:51
: 70.0%	7000	41.9	3:21:13
: 80.0%	8000	41.9	1:55:00
: 90.0%	9000	41.9	50:19
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:42:35
: 30.0%	3000	41.9	23:29:57
: 40.0%	4000	41.9	13:25:44
: 50.0%	5000	41.9	8:23:36
: 60.0%	6000	42	5:22:19
: 70.0%	7000	42	3:21:28
: 80.0%	8000	42	1:55:07
: 90.0%	9000	42	50:22
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:45:53
: 30.0%	3000	41.9	23:31:44
: 40.0%	4000	41.9	13:26:55
: 50.0%	5000	41.9	8:24:28
: 60.0%	6000	41.9	5:22:57
: 70.0%	7000	41.9	3:21:54
: 80.0%	8000	41.9	1:55:24
: 90.0%	9000	41.9	50:30
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:53:34
: 30.0%	3000	41.9	23:34:45
: 40.0%	4000	41.9	13:28:28
: 50.0%	5000	41.9	8:25:19
: 60.0%	6000	42	5:23:25
: 70.0%	7000	42	3:22:09
: 80.0%	8000	42	1:55:31
: 90.0%	9000	42	50:32
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:5:56:52
: 30.0%	3000	41.9	23:36:32
: 40.0%	4000	41.9	13:29:40
: 50.0%	5000	41.9	8:26:11
: 60.0%	6000	41.9	5:24:03
: 70.0%	7000	41.9	3:22:35
: 80.0%	8000	41.9	1:55:47
: 90.0%	9000	41.9	50:40
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:04:31
: 30.0%	3000	41.9	23:39:33
: 40.0%	4000	41.9	13:31:13
: 50.0%	5000	41.9	8:27:02
: 60.0%	6000	42	5:24:31
: 70.0%	7000	42	3:22:50
: 80.0%	8000	42	1:55:54
: 90.0%	9000	42	50:42
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:07:47
: 30.0%	3000	41.9	23:41:18
: 40.0%	4000	41.9	13:32:24
: 50.0%	5000	41.9	8:27:53
: 60.0%	6000	41.9	5:25:08
: 70.0%	7000	41.9	3:23:16
: 80.0%	8000	41.9	1:56:11
: 90.0%	9000	41.9	50:50
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:15:27
: 30.0%	3000	41.9	23:44:20
: 40.0%	4000	41.9	13:33:57
: 50.0%	5000	41.9	8:28:44
: 60.0%	6000	42	5:25:36
: 70.0%	7000	42	3:23:31
: 80.0%	8000	42	1:56:18
: 90.0%	9000	42	50:53
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:18:45
: 30.0%	3000	41.9	23:46:05
: 40.0%	4000	41.9	13:35:08
: 50.0%	5000	41.9	8:29:36
: 60.0%	6000	41.9	5:26:14
: 70.0%	7000	41.9	3:23:57
: 80.0%	8000	41.9	1:56:34
: 90.0%	9000	41.9	51:01
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:26:23
: 30.0%	3000	41.9	23:49:07
: 40.0%	4000	41.9	13:36:40
: 50.0%	5000	41.9	8:30:27
: 60.0%	6000	42	5:26:42
: 70.0%	7000	42	3:24:12
: 80.0%	8000	42	1:56:41
: 90.0%	9000	42	51:03
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:29:43
: 30.0%	3000	41.9	23:50:54
: 40.0%	4000	41.9	13:37:53
: 50.0%	5000	41.9	8:31:19
: 60.0%	6000	41.9	5:27:20
: 70.0%	7000	41.9	3:24:38
: 80.0%	8000	41.9	1:56:58
: 90.0%	9000	41.9	51:11
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:37:23
: 30.0%	3000	41.9	23:53:56
: 40.0%	4000	41.9	13:39:26
: 50.0%	5000	41.9	8:32:10
: 60.0%	6000	42	5:27:48
: 70.0%	7000	42	3:24:53
: 80.0%	8000	42	1:57:05
: 90.0%	9000	42	51:13
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:40:45
: 30.0%	3000	41.9	23:55:43
: 40.0%	4000	41.9	13:40:38
: 50.0%	5000	41.9	8:33:02
: 60.0%	6000	41.9	5:28:26
: 70.0%	7000	41.9	3:25:19
: 80.0%	8000	41.9	1:57:21
: 90.0%	9000	41.9	51:21
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:48:27
: 30.0%	3000	41.9	23:58:46
: 40.0%	4000	41.9	13:42:12
: 50.0%	5000	41.9	8:33:54
: 60.0%	6000	42	5:28:54
: 70.0%	7000	42	3:25:34
: 80.0%	8000	42	1:57:28
: 90.0%	9000	42	51:24
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:51:46
: 30.0%	3000	41.9	1:0:00:33
: 40.0%	4000	41.9	13:43:24
: 50.0%	5000	41.9	8:34:46
: 60.0%	6000	41.9	5:29:32
: 70.0%	7000	41.9	3:26:01
: 80.0%	8000	41.9	1:57:45
: 90.0%	9000	41.9	51:32
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:6:59:30
: 30.0%	3000	41.9	1:0:03:36
: 40.0%	4000	41.9	13:44:57
: 50.0%	5000	41.9	8:35:37
: 60.0%	6000	42	5:30:01
: 70.0%	7000	42	3:26:16
: 80.0%	8000	42	1:57:52
: 90.0%	9000	42	51:34
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:02:44
: 30.0%	3000	41.9	1:0:05:21
: 40.0%	4000	41.9	13:46:08
: 50.0%	5000	41.9	8:36:28
: 60.0%	6000	41.9	5:30:38
: 70.0%	7000	41.9	3:26:42
: 80.0%	8000	41.9	1:58:09
: 90.0%	9000	41.9	51:42
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:10:24
: 30.0%	3000	41.9	1:0:08:23
: 40.0%	4000	41.9	13:47:41
: 50.0%	5000	41.9	8:37:20
: 60.0%	6000	42	5:31:06
: 70.0%	7000	42	3:26:57
: 80.0%	8000	42	1:58:16
: 90.0%	9000	42	51:44
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:13:42
: 30.0%	3000	41.9	1:0:10:08
: 40.0%	4000	41.9	13:48:53
: 50.0%	5000	41.9	8:38:11
: 60.0%	6000	41.9	5:31:44
: 70.0%	7000	41.9	3:27:23
: 80.0%	8000	41.9	1:58:32
: 90.0%	9000	41.9	51:52
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:21:25
: 30.0%	3000	41.9	1:0:13:11
: 40.0%	4000	41.9	13:50:26
: 50.0%	5000	41.9	8:39:03
: 60.0%	6000	42	5:32:12
: 70.0%	7000	42	3:27:38
: 80.0%	8000	42	1:58:39
: 90.0%	9000	42	51:54
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:24:41
: 30.0%	3000	41.9	1:0:14:56
: 40.0%	4000	41.9	13:51:36
: 50.0%	5000	41.9	8:39:54
: 60.0%	6000	41.9	5:32:49
: 70.0%	7000	41.9	3:28:04
: 80.0%	8000	41.9	1:58:55
: 90.0%	9000	41.9	52:02
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:32:20
: 30.0%	3000	41.9	1:0:17:58
: 40.0%	4000	41.9	13:53:10
: 50.0%	5000	41.9	8:40:45
: 60.0%	6000	42	5:33:18
: 70.0%	7000	42	3:28:19
: 80.0%	8000	42	1:59:02
: 90.0%	9000	42	52:05
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:35:35
: 30.0%	3000	41.9	1:0:19:43
: 40.0%	4000	41.9	13:54:21
: 50.0%	5000	41.9	8:41:37
: 60.0%	6000	41.9	5:33:55
: 70.0%	7000	41.9	3:28:45
: 80.0%	8000	41.9	1:59:19
: 90.0%	9000	41.9	52:13
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:43:19
: 30.0%	3000	41.9	1:0:22:47
: 40.0%	4000	41.9	13:55:55
: 50.0%	5000	41.9	8:42:28
: 60.0%	6000	42	5:34:24
: 70.0%	7000	42	3:29:00
: 80.0%	8000	42	1:59:26
: 90.0%	9000	42	52:15
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:46:40
: 30.0%	3000	41.9	1:0:24:34
: 40.0%	4000	41.9	13:57:07
: 50.0%	5000	41.9	8:43:20
: 60.0%	6000	41.9	5:35:02
: 70.0%	7000	41.9	3:29:27
: 80.0%	8000	41.9	1:59:43
: 90.0%	9000	41.9	52:23
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:54:22
: 30.0%	3000	41.9	1:0:27:37
: 40.0%	4000	41.9	13:58:40
: 50.0%	5000	41.9	8:44:12
: 60.0%	6000	42	5:35:30
: 70.0%	7000	42	3:29:42
: 80.0%	8000	42	1:59:50
: 90.0%	9000	42	52:25
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:7:57:41
: 30.0%	3000	41.9	1:0:29:23
: 40.0%	4000	41.9	13:59:52
: 50.0%	5000	41.9	8:45:03
: 60.0%	6000	41.9	5:36:07
: 70.0%	7000	41.9	3:30:07
: 80.0%	8000	41.9	2:00:06
: 90.0%	9000	41.9	52:33
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:05:15
: 30.0%	3000	41.9	1:0:32:22
: 40.0%	4000	41.9	14:01:24
: 50.0%	5000	41.9	8:45:54
: 60.0%	6000	42	5:36:35
: 70.0%	7000	42	3:30:23
: 80.0%	8000	42	2:00:13
: 90.0%	9000	42	52:36
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:08:33
: 30.0%	3000	41.9	1:0:34:08
: 40.0%	4000	41.9	14:02:35
: 50.0%	5000	41.9	8:46:45
: 60.0%	6000	41.9	5:37:13
: 70.0%	7000	41.9	3:30:49
: 80.0%	8000	41.9	2:00:30
: 90.0%	9000	41.9	52:44
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:16:15
: 30.0%	3000	41.9	1:0:37:11
: 40.0%	4000	41.9	14:04:09
: 50.0%	5000	41.9	8:47:37
: 60.0%	6000	42	5:37:41
: 70.0%	7000	42	3:31:04
: 80.0%	8000	42	2:00:37
: 90.0%	9000	42	52:46
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:19:32
: 30.0%	3000	41.9	1:0:38:57
: 40.0%	4000	41.9	14:05:20
: 50.0%	5000	41.9	8:48:29
: 60.0%	6000	41.9	5:38:19
: 70.0%	7000	41.9	3:31:30
: 80.0%	8000	41.9	2:00:53
: 90.0%	9000	41.9	52:54
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:27:17
: 30.0%	3000	41.9	1:0:42:00
: 40.0%	4000	41.9	14:06:54
: 50.0%	5000	41.9	8:49:20
: 60.0%	6000	42	5:38:47
: 70.0%	7000	42	3:31:45
: 80.0%	8000	42	2:01:00
: 90.0%	9000	42	52:56
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:30:32
: 30.0%	3000	41.9	1:0:43:45
: 40.0%	4000	41.9	14:08:05
: 50.0%	5000	41.9	8:50:11
: 60.0%	6000	41.9	5:39:25
: 70.0%	7000	41.9	3:32:11
: 80.0%	8000	41.9	2:01:17
: 90.0%	9000	41.9	53:04
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:38:12
: 30.0%	3000	41.9	1:0:46:47
: 40.0%	4000	41.9	14:09:38
: 50.0%	5000	41.9	8:51:03
: 60.0%	6000	42	5:39:53
: 70.0%	7000	42	3:32:26
: 80.0%	8000	42	2:01:24
: 90.0%	9000	42	53:06
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:41:31
: 30.0%	3000	41.9	1:0:48:34
: 40.0%	4000	41.9	14:10:50
: 50.0%	5000	41.9	8:51:54
: 60.0%	6000	41.9	5:40:31
: 70.0%	7000	41.9	3:32:52
: 80.0%	8000	41.9	2:01:40
: 90.0%	9000	41.9	53:14
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:49:13
: 30.0%	3000	41.9	1:0:51:36
: 40.0%	4000	41.9	14:12:23
: 50.0%	5000	41.9	8:52:46
: 60.0%	6000	42	5:40:59
: 70.0%	7000	42	3:33:07
: 80.0%	8000	42	2:01:47
: 90.0%	9000	42	53:17
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:8:52:32
: 30.0%	3000	41.9	1:0:53:22
: 40.0%	4000	41.9	14:13:35
: 50.0%	5000	41.9	8:53:38
: 60.0%	6000	41.9	5:41:37
: 70.0%	7000	41.9	3:33:34
: 80.0%	8000	41.9	2:02:04
: 90.0%	9000	41.9	53:25
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:00:15
: 30.0%	3000	41.9	1:0:56:26
: 40.0%	4000	41.9	14:15:09
: 50.0%	5000	41.9	8:54:29
: 60.0%	6000	42	5:42:05
: 70.0%	7000	42	3:33:49
: 80.0%	8000	42	2:02:11
: 90.0%	9000	42	53:27
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:03:31
: 30.0%	3000	41.9	1:0:58:12
: 40.0%	4000	41.9	14:16:20
: 50.0%	5000	41.9	8:55:21
: 60.0%	6000	41.9	5:42:43
: 70.0%	7000	41.9	3:34:15
: 80.0%	8000	41.9	2:02:27
: 90.0%	9000	41.9	53:35
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:11:15
: 30.0%	3000	41.9	1:1:01:15
: 40.0%	4000	41.9	14:17:54
: 50.0%	5000	41.9	8:56:13
: 60.0%	6000	42	5:43:11
: 70.0%	7000	42	3:34:30
: 80.0%	8000	42	2:02:34
: 90.0%	9000	42	53:37
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:14:34
: 30.0%	3000	41.9	1:1:03:01
: 40.0%	4000	41.9	14:19:05
: 50.0%	5000	41.9	8:57:04
: 60.0%	6000	41.9	5:43:49
: 70.0%	7000	41.9	3:34:56
: 80.0%	8000	41.9	2:02:51
: 90.0%	9000	41.9	53:45
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:22:15
: 30.0%	3000	41.9	1:1:06:03
: 40.0%	4000	41.9	14:20:39
: 50.0%	5000	41.9	8:57:56
: 60.0%	6000	42	5:44:17
: 70.0%	7000	42	3:35:11
: 80.0%	8000	42	2:02:58
: 90.0%	9000	42	53:48
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:25:37
: 30.0%	3000	41.9	1:1:07:50
: 40.0%	4000	41.9	14:21:51
: 50.0%	5000	41.9	8:58:48
: 60.0%	6000	41.9	5:44:55
: 70.0%	7000	41.9	3:35:38
: 80.0%	8000	41.9	2:03:15
: 90.0%	9000	41.9	53:56
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:33:14
: 30.0%	3000	41.9	1:1:10:52
: 40.0%	4000	41.9	14:23:23
: 50.0%	5000	41.9	8:59:39
: 60.0%	6000	42	5:45:23
: 70.0%	7000	42	3:35:52
: 80.0%	8000	42	2:03:22
: 90.0%	9000	42	53:58
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:36:31
: 30.0%	3000	41.9	1:1:12:37
: 40.0%	4000	41.9	14:24:35
: 50.0%	5000	41.9	9:00:30
: 60.0%	6000	41.9	5:46:01
: 70.0%	7000	41.9	3:36:19
: 80.0%	8000	41.9	2:03:38
: 90.0%	9000	41.9	54:06
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:44:14
: 30.0%	3000	41.9	1:1:15:41
: 40.0%	4000	41.9	14:26:08
: 50.0%	5000	41.9	9:01:22
: 60.0%	6000	42	5:46:29
: 70.0%	7000	42	3:36:34
: 80.0%	8000	42	2:03:45
: 90.0%	9000	42	54:08
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:47:31
: 30.0%	3000	41.9	1:1:17:26
: 40.0%	4000	41.9	14:27:20
: 50.0%	5000	41.9	9:02:13
: 60.0%	6000	41.9	5:47:06
: 70.0%	7000	41.9	3:37:00
: 80.0%	8000	41.9	2:04:02
: 90.0%	9000	41.9	54:16
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:55:14
: 30.0%	3000	41.9	1:1:20:29
: 40.0%	4000	41.9	14:28:53
: 50.0%	5000	41.9	9:03:05
: 60.0%	6000	42	5:47:35
: 70.0%	7000	42	3:37:15
: 80.0%	8000	42	2:04:09
: 90.0%	9000	42	54:19
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:9:58:32
: 30.0%	3000	41.9	1:1:22:15
: 40.0%	4000	41.9	14:30:05
: 50.0%	5000	41.9	9:03:56
: 60.0%	6000	41.9	5:48:13
: 70.0%	7000	41.9	3:37:41
: 80.0%	8000	41.9	2:04:25
: 90.0%	9000	41.9	54:27
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:06:13
: 30.0%	3000	41.9	1:1:25:18
: 40.0%	4000	41.9	14:31:38
: 50.0%	5000	41.9	9:04:48
: 60.0%	6000	42	5:48:41
: 70.0%	7000	42	3:37:56
: 80.0%	8000	42	2:04:32
: 90.0%	9000	42	54:29
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:09:32
: 30.0%	3000	41.9	1:1:27:04
: 40.0%	4000	41.9	14:32:50
: 50.0%	5000	41.9	9:05:39
: 60.0%	6000	41.9	5:49:18
: 70.0%	7000	41.9	3:38:22
: 80.0%	8000	41.9	2:04:49
: 90.0%	9000	41.9	54:37
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:17:15
: 30.0%	3000	41.9	1:1:30:07
: 40.0%	4000	41.9	14:34:24
: 50.0%	5000	41.9	9:06:31
: 60.0%	6000	42	5:49:47
: 70.0%	7000	42	3:38:38
: 80.0%	8000	42	2:04:56
: 90.0%	9000	42	54:39
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:20:35
: 30.0%	3000	41.9	1:1:31:54
: 40.0%	4000	41.9	14:35:36
: 50.0%	5000	41.9	9:07:23
: 60.0%	6000	41.9	5:50:25
: 70.0%	7000	41.9	3:39:04
: 80.0%	8000	41.9	2:05:12
: 90.0%	9000	41.9	54:47
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:28:17
: 30.0%	3000	41.9	1:1:34:57
: 40.0%	4000	41.9	14:37:09
: 50.0%	5000	41.9	9:08:15
: 60.0%	6000	42	5:50:53
: 70.0%	7000	42	3:39:19
: 80.0%	8000	42	2:05:20
: 90.0%	9000	42	54:50
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:31:36
: 30.0%	3000	41.9	1:1:36:43
: 40.0%	4000	41.9	14:38:21
: 50.0%	5000	41.9	9:09:06
: 60.0%	6000	41.9	5:51:31
: 70.0%	7000	41.9	3:39:45
: 80.0%	8000	41.9	2:05:36
: 90.0%	9000	41.9	54:58
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:39:15
: 30.0%	3000	41.9	1:1:39:44
: 40.0%	4000	41.9	14:39:54
: 50.0%	5000	41.9	9:09:57
: 60.0%	6000	42	5:51:59
: 70.0%	7000	42	3:40:00
: 80.0%	8000	42	2:05:43
: 90.0%	9000	42	55:00
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:42:33
: 30.0%	3000	41.9	1:1:41:30
: 40.0%	4000	41.9	14:41:05
: 50.0%	5000	41.9	9:10:49
: 60.0%	6000	41.9	5:52:37
: 70.0%	7000	41.9	3:40:26
: 80.0%	8000	41.9	2:05:59
: 90.0%	9000	41.9	55:08
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:50:14
: 30.0%	3000	41.9	1:1:44:33
: 40.0%	4000	41.9	14:42:38
: 50.0%	5000	41.9	9:11:40
: 60.0%	6000	42	5:53:05
: 70.0%	7000	42	3:40:41
: 80.0%	8000	42	2:06:07
: 90.0%	9000	42	55:10
: 100.0%	10000	42	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:10:53:29
: 30.0%	3000	41.9	1:1:46:18
: 40.0%	4000	41.9	14:43:49
: 50.0%	5000	41.9	9:12:32
: 60.0%	6000	41.9	5:53:43
: 70.0%	7000	41.9	3:41:07
: 80.0%	8000	41.9	2:06:23
: 90.0%	9000	41.9	55:18
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	2:11:01:10
: 30.0%	3000	41.9	1:1:49:20
: 40.0%	4000	41.9	14:45:23
: 50.0%	5000	41.9	9:13:23
: 60.0%	6000	42	5:54:11
: 70.0%	7000	42	3:41:22
: 80.0%	8000	42	2:06:30
: 90.0%	9000	42	55:21
: 100.0%	10000	42	0:00
